発生日,地域,マグニチュード,最大震度
2019/6/16,京都,2.9,震度１
2019/6/16,京都,2.5,震度１
2019/6/26,京都,2.7,震度１
2019/7/28,京都,6.6,震度１
2019/8/20,京都,2.9,震度２
2019/9/16,京都,2.9,震度１
2019/9/22,京都,2.9,震度１
2019/10/26,京都,3.5,震度２
2019/10/26,京都,2.7,震度２
2019/10/27,京都,3.2,震度２
2019/10/30,京都,3.4,震度３
2019/11/4,京都,2.5,震度１
2019/11/13,京都,3.2,震度２
2019/11/26,京都,2.5,震度１
2020/2/23,京都,3.1,震度１
2020/3/13,京都,5.5,震度１
2020/3/19,京都,2.6,震度１
2020/3/20,京都,2.4,震度１
2020/4/4,京都,3.5,震度１
2020/4/14,京都,2.7,震度１
2020/4/16,京都,2.5,震度１
2020/4/18,京都,6.8,震度１
2020/5/8,京都,2.8,震度１
2020/5/15,京都,2.9,震度１
2020/5/29,京都,1.7,震度１
2020/6/17,京都,4.4,震度１
2020/7/8,京都,2.9,震度１
2020/8/9,京都,2.9,震度１
2020/8/26,京都,3.2,震度２
2020/8/27,京都,4,震度１
2020/9/2,京都,4.6,震度１
2020/9/4,京都,2.3,震度１
2020/9/4,京都,5,震度２
2020/9/27,京都,5.1,震度１
2020/10/6,京都,2.6,震度１
2020/10/12,京都,3,震度２
2020/10/19,京都,4.1,震度１
2020/10/26,京都,4,震度１
2020/11/5,京都,2.1,震度１
2020/11/26,京都,2.8,震度１
2020/12/17,京都,3.3,震度２
2020/12/24,京都,3.6,震度１
2020/12/24,京都,3,震度２
2021/1/3,京都,2.7,震度１
2021/2/13,京都,7.3,震度２
2021/2/18,京都,4.2,震度１
2021/2/28,京都,3.7,震度２
2021/3/21,京都,3.1,震度１
