発生日,地域,マグニチュード,最大震度
2015/5/30,沖縄,8.1,震度２
2015/5/31,沖縄,3.5,震度２
2015/6/2,沖縄,3.2,震度１
2015/6/6,沖縄,3.3,震度１
2015/6/8,沖縄,4.7,震度１
2015/6/8,沖縄,3.8,震度２
2015/6/8,沖縄,3.3,震度１
2015/6/11,沖縄,3.2,震度１
2015/6/27,沖縄,4.7,震度１
2015/7/12,沖縄,4.6,震度２
2015/7/14,沖縄,4.4,震度２
2015/7/16,沖縄,4,震度１
2015/7/16,沖縄,4.2,震度１
2015/8/7,沖縄,3.8,震度２
2015/8/7,沖縄,2.9,震度１
2015/8/11,沖縄,4.2,震度３
2015/8/13,沖縄,5.7,震度３
2015/8/14,沖縄,4.5,震度１
2015/8/23,沖縄,2.6,震度１
2015/9/7,沖縄,4.4,震度１
2015/9/16,沖縄,5.6,震度１
2015/9/18,沖縄,3.6,震度１
2015/9/30,沖縄,3.6,震度１
2015/10/1,沖縄,3.9,震度２
2015/10/4,沖縄,4.5,震度３
2015/10/13,沖縄,4.8,震度３
2015/11/3,沖縄,4.3,震度１
2015/11/12,沖縄,5,震度３
2015/12/1,沖縄,3.7,震度２
2015/12/14,沖縄,2.3,震度１
2015/12/14,沖縄,3.4,震度１
2015/12/15,沖縄,3.6,震度１
2015/12/31,沖縄,3.6,震度１
2016/1/1,沖縄,3.5,震度１
2016/1/4,沖縄,3.9,震度１
2016/1/4,沖縄,4.8,震度１
2016/1/9,沖縄,5.4,震度２
2016/1/12,沖縄,4.1,震度２
2016/1/19,沖縄,5.8,震度１
2016/1/22,沖縄,3.7,震度１
2016/1/28,沖縄,3.5,震度１
2016/1/30,沖縄,4.2,震度１
2016/2/2,沖縄,5.8,震度２
2016/2/3,沖縄,2.8,震度１
2016/2/8,沖縄,4.6,震度２
2016/2/12,沖縄,3.7,震度１
2016/2/12,沖縄,4.2,震度１
2016/2/15,沖縄,3.5,震度１
2016/3/1,沖縄,5.3,震度２
2016/3/4,沖縄,4.2,震度１
2016/3/4,沖縄,3.3,震度１
2016/3/11,沖縄,3.5,震度１
2016/3/14,沖縄,5.3,震度２
2016/3/18,沖縄,4.7,震度１
2016/3/19,沖縄,4.9,震度１
2016/3/19,沖縄,4.9,震度２
2016/3/20,沖縄,4.6,震度１
2016/4/10,沖縄,3.8,震度２
2016/4/11,沖縄,4.9,震度１
2016/4/17,沖縄,3.9,震度１
2016/4/19,沖縄,4.8,震度１
2016/4/19,沖縄,3.9,震度１
2016/4/21,沖縄,3.5,震度１
2016/5/1,沖縄,2.8,震度１
2016/5/3,沖縄,3.9,震度２
2016/5/9,沖縄,2.6,震度１
2016/5/10,沖縄,3.6,震度１
2016/5/12,沖縄,6.5,震度２
2016/5/12,沖縄,6.4,震度３
2016/5/12,沖縄,3.1,震度１
2016/5/13,沖縄,3.8,震度１
2016/5/13,沖縄,5.5,震度２
2016/5/13,沖縄,4.3,震度１
2016/5/14,沖縄,4.1,震度１
2016/5/15,沖縄,3.7,震度１
2016/5/19,沖縄,4.4,震度２
2016/5/27,沖縄,5.6,震度２
2016/5/27,沖縄,5.2,震度１
2016/5/30,沖縄,4.2,震度１
2016/5/30,沖縄,5.3,震度１
2016/5/31,沖縄,6.2,震度３
2016/6/3,沖縄,3.9,震度１
2016/6/10,沖縄,4.1,震度１
2016/6/11,沖縄,3.9,震度１
2016/6/12,沖縄,3.8,震度１
2016/6/13,沖縄,5.5,震度１
2016/6/15,沖縄,5.2,震度１
2016/6/24,沖縄,6.2,震度２
2016/7/1,沖縄,4.7,震度１
2016/7/17,沖縄,4.2,震度１
2016/7/23,沖縄,3.3,震度１
2016/7/26,沖縄,5.4,震度２
2016/8/3,沖縄,3.2,震度１
2016/8/8,沖縄,4,震度２
2016/8/14,沖縄,4.4,震度２
2016/8/14,沖縄,3.9,震度１
2016/8/17,沖縄,4.9,震度１
2016/8/23,沖縄,4.7,震度２
2016/8/23,沖縄,3.5,震度１
2016/8/29,沖縄,3.9,震度１
2016/9/3,沖縄,3.6,震度２
2016/9/7,沖縄,4.8,震度３
2016/9/7,沖縄,3.6,震度１
2016/9/7,沖縄,4.1,震度２
2016/9/9,沖縄,3.4,震度１
2016/9/18,沖縄,2.9,震度１
2016/9/18,沖縄,3.2,震度１
2016/9/26,沖縄,5.6,震度３
2016/9/28,沖縄,4.9,震度２
2016/10/3,沖縄,4.2,震度３
2016/10/3,沖縄,2.7,震度１
2016/10/7,沖縄,5.8,震度１
2016/10/9,沖縄,4.3,震度３
2016/10/22,沖縄,4.5,震度１
2016/10/29,沖縄,5.3,震度２
2016/11/1,沖縄,3.9,震度１
2016/11/2,沖縄,4.8,震度１
2016/11/7,沖縄,4.8,震度１
2016/11/12,沖縄,5.2,震度２
2016/11/20,沖縄,3.9,震度１
2016/11/20,沖縄,4,震度１
2016/11/21,沖縄,3.7,震度１
2016/11/23,沖縄,4.7,震度２
2016/11/25,沖縄,5.6,震度２
2016/12/2,沖縄,4.1,震度１
2016/12/4,沖縄,2.9,震度１
2016/12/8,沖縄,4.9,震度２
2016/12/10,沖縄,3.2,震度２
2016/12/25,沖縄,2.9,震度１
2016/12/26,沖縄,3.3,震度１
2016/12/31,沖縄,3.3,震度１
2017/1/1,沖縄,4.5,震度１
2017/1/4,沖縄,3.1,震度１
2017/1/13,沖縄,4,震度２
2017/1/21,沖縄,3.9,震度２
2017/1/22,沖縄,2.4,震度１
2017/2/17,沖縄,4.4,震度３
2017/2/28,沖縄,4.8,震度２
2017/3/4,沖縄,3.5,震度２
2017/3/8,沖縄,4.7,震度１
2017/3/16,沖縄,3.9,震度２
2017/3/25,沖縄,5.1,震度３
2017/4/30,沖縄,4.2,震度３
2017/5/1,沖縄,4.1,震度２
2017/5/2,沖縄,3,震度１
2017/5/9,沖縄,6.4,震度３
2017/5/9,沖縄,5,震度１
2017/5/10,沖縄,5,震度２
2017/5/10,沖縄,4.5,震度１
2017/5/12,沖縄,4.3,震度３
2017/5/15,沖縄,5.4,震度１
2017/5/23,沖縄,2.8,震度１
2017/5/30,沖縄,3.2,震度１
2017/5/30,沖縄,5.3,震度１
2017/6/2,沖縄,4,震度１
2017/6/3,沖縄,5.3,震度１
2017/6/5,沖縄,3.3,震度１
2017/6/10,沖縄,4.3,震度１
2017/6/11,沖縄,3.3,震度１
2017/6/21,沖縄,3.1,震度１
2017/6/30,沖縄,5.2,震度３
2017/7/7,沖縄,2.5,震度１
2017/7/13,沖縄,4.3,震度１
2017/7/19,沖縄,4.7,震度２
2017/7/26,沖縄,5.8,震度２
2017/7/31,沖縄,3.6,震度１
2017/8/4,沖縄,5.3,震度３
2017/8/8,沖縄,3.5,震度１
2017/8/8,沖縄,5.2,震度３
2017/8/8,沖縄,3.8,震度２
2017/8/9,沖縄,3.5,震度１
2017/8/11,沖縄,3.3,震度１
2017/8/16,沖縄,5.7,震度２
2017/8/21,沖縄,4.4,震度２
2017/8/28,沖縄,3.4,震度１
2017/8/31,沖縄,3.6,震度２
2017/9/1,沖縄,4,震度１
